"","id","timestamp","platform","age","gender","occupation","country","cohabitation","N_USE1","N_USE2","N_USE3","N_USE4","N_USE5","N_USE6","N_USE7","N_USE8","N_USE9","N_USE10","N_USE11","N_USE12","N_USE13","N_USE14","N_USE15","N_USE16","N_USE17","N_USE18","N_USE19","N_USE20","N_USE21","N_USE22","N_subscription","N_motivation","N_share","N_pay","N_lockdown","N_watch","N_frequency","N_pandemic","PV_USE1","PV_USE2","PV_USE3","PV_USE4","PV_USE5","PV_USE6","PV_USE7","PV_USE8","PV_USE9","PV_USE10","PV_USE11","PV_USE12","PV_USE13","PV_USE14","PV_USE15","PV_USE16","PV_USE17","PV_USE18","PV_USE19","PV_USE20","PV_USE21","PV_USE22","PV_subscription","PV_motivation","PV_share","PV_pay","PV_lockdown","PV_watch","PV_frequency","PV_pandemic","device","reasons","influencing_factors"
"49",34,"19/04/2022 7.34.48","Both platforms","24-29","Female","Employed","France","I live with my parents",6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",7,"About the same use before and after the pandemic started",5,5,5,5,5,4,4,4,3,6,5,5,5,5,5,4,4,2,2,3,4,2,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",5,"About the same use before and after the pandemic","TV","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Cast, Title, Platform recommendations, Friends' recommendation, Award winning shows, New Release"
"50",35,"19/04/2022 8.02.20","Both platforms","24-29","Male","Employed","United Kingdom ","I live with my spouse or partner",7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",5.6,"About the same use before and after the pandemic started",4,5,3,2,4,4,7,7,5,5,7,7,6,6,6,6,6,4,3,4,6,5,"After the pandemic started (from February, 2020)","I had the possibility to use Prime Video together with other Amazon products","Yes, with my partner","No","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",6,"I use Prime Video more since the pandemic started","TV, Smartphone","Spend time with your partner/friends/family, Learn something new, Pass the time, Keeping myself up to date with trending content, Release stress","Cast, Title, Graphics, Platform recommendations, Friends' recommendation, New Release"
"51",36,"19/04/2022 9.06.44","Both platforms","24-29","Male","Student","Bangladesh","I live with my parents",6,6,4,5,5,5,4,5,5,5,5,5,5,5,5,5,6,5,4,5,5,5,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Animated films / Cartoons",5.6,"I use Netflix more since the pandemic started",3,3,2,3,4,3,3,3,4,3,3,4,3,3,3,4,4,3,2,3,4,3,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Prime Video's user","Movies, TV shows / series",3,"About the same use before and after the pandemic","TV","Pass the time","Cast, Film director, Award winning shows, New Release"
"52",37,"19/04/2022 9.15.49","Both platforms","18-23","Female","Student","Italy","I share a flat with roommates",6,6,6,6,6,6,7,7,7,6,6,7,7,6,7,7,7,5,6,6,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Netflix's user","TV shows / series",4.2,"I use Netflix less than the time before the pandemic started",5,5,6,6,6,6,5,5,6,5,6,5,5,5,5,5,6,5,5,4,4,5,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Prime Video's user","TV shows / series",2,"I use Prime Video less than the time before the pandemic started","Laptop, Smartphone","Pass the time, Release stress","Cast, Title, Graphics"
"53",38,"19/04/2022 9.21.53","Both platforms","24-29","Female","Unemployed","Austria","I live with my parents",7,7,6,7,7,7,7,5,5,7,7,7,7,7,7,5,5,6,6,6,1,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Animated films / Cartoons",4.2,"About the same use before and after the pandemic started",5,4,3,3,4,3,5,2,4,3,4,4,4,3,3,4,4,3,3,4,1,3,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies, TV shows / series, Animated films / Cartoons",3,"About the same use before and after the pandemic","TV, Laptop, Smartphone","Pass the time, Release stress","Friends' recommendation, New Release"
"54",39,"19/04/2022 9.26.40","Both platforms","More than 42","Female","Employed","Boston, MA, USA","I live with my spouse or partner",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",5.6,"About the same use before and after the pandemic started",7,7,7,5,5,5,7,7,7,5,6,7,7,7,7,7,7,7,6,5,5,5,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","TV shows / series",5,"About the same use before and after the pandemic","TV, Smartphone","Spend time with your partner/friends/family, Pass the time, Release stress","Cast, Title, Award winning shows"
"55",40,"19/04/2022 10.31.30","Both platforms","24-29","Female","Student","Italy","I share a flat with roommates",6,6,6,5,4,5,7,6,3,4,4,7,7,7,6,6,6,4,5,5,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series",4.2,"I use Netflix less than the time before the pandemic started",6,6,6,5,4,5,7,4,4,5,6,6,7,7,6,5,5,4,5,4,4,4,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","Movies",1,"I use Prime Video more since the pandemic started","TV, Desktop PC","Spend time with your partner/friends/family, Release stress","Film director, Platform recommendations, Award winning shows, Top 10"
"56",41,"19/04/2022 11.05.58","Both platforms","36-41","Female","Employed","Australia","I live by myself",7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,"Before the pandemic started (before February, 2020)","Not applicable","yes with my parents and my old roommate ","No","Yes, I am still a Netflix's user","Movies, TV shows / series",7,"I use Netflix more since the pandemic started",7,7,6,6,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,5,7,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes","Yes, I am still a Prime Video's user","TV shows / series",5,"I use Prime Video less than the time before the pandemic started","TV, Laptop, Tablet","Pass the time, Release stress, it keeps me company while I'm working from home","Cast, Title, Graphics, New Release"
"59",42,"19/04/2022 11.34.20","Both platforms","24-29","Male","Student, Employed","Italy","I live by myself",5,5,5,6,4,5,7,4,6,5,6,6,7,5,6,6,2,2,4,3,2,3,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family, Yes, with my friends","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",1.4,"About the same use before and after the pandemic started",4,4,3,3,4,4,5,3,4,5,6,6,5,4,5,4,2,2,3,4,2,3,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",1,"About the same use before and after the pandemic","TV, Desktop PC, Laptop, Smartphone","Spend time with your partner/friends/family, Pass the time, Release stress","Title, Platform recommendations, Friends' recommendation"
"60",43,"19/04/2022 11.42.08","Both platforms","More than 42","Male","Employed","Italy","I live with my spouse or partner",6,6,6,6,5,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",5.6,"About the same use before and after the pandemic started",6,5,6,5,5,5,7,5,5,5,7,7,7,6,7,6,6,5,6,5,5,5,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",4,"About the same use before and after the pandemic","Laptop, Tablet, Apple TV with large monitor","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Title, Platform recommendations, Friends' recommendation, New Release, Top 10, IMDB rating"
"61",44,"19/04/2022 11.45.24","Both platforms","More than 42","Male","Employed","South Africa","I live with my spouse or partner",7,7,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",5.6,"About the same use before and after the pandemic started",5,5,5,5,5,5,5,5,4,5,7,7,6,6,6,4,4,4,4,5,3,4,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",2,"About the same use before and after the pandemic","TV, Desktop PC, Laptop, Tablet","Spend time with your partner/friends/family, Learn something new, Pass the time","Cast, New Release, Trailers on Youtube"
"62",45,"19/04/2022 11.51.00","Both platforms","18-23","Female","Student","Germany","I share a flat with roommates",7,7,6,7,5,6,6,5,6,7,5,7,7,7,7,6,6,6,7,5,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","TV shows / series",5.6,"I use Netflix more since the pandemic started",6,5,5,5,4,6,7,6,5,6,4,7,7,6,6,5,5,3,3,3,4,3,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Prime Video's user","TV shows / series",4,"I use Prime Video more since the pandemic started","Laptop","Spend time with your partner/friends/family, Pass the time, Release stress","Cast, Title, Graphics, Friends' recommendation, New Release, Top 10"
"63",46,"19/04/2022 11.56.22","Both platforms","36-41","Male","Employed","Germany ","I share a flat with roommates",6,6,6,4,4,5,7,6,6,6,6,6,6,6,6,4,4,5,5,3,3,5,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",4.2,"About the same use before and after the pandemic started",3,3,4,2,3,3,6,2,3,5,6,4,6,5,4,3,2,4,1,2,2,2,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",1,"About the same use before and after the pandemic","Apple TV","Pass the time, Keeping myself up to date with trending content, Release stress","Cast, Film director, Title, Graphics, Friends' recommendation, New Release, Description "
"65",47,"19/04/2022 12.12.40","Both platforms","30-35","Male","Student","Italy","I live with my parents",6,6,5,5,4,5,7,7,6,6,6,6,6,6,5,6,7,6,6,6,6,5,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, Documentaries",5.6,"About the same use before and after the pandemic started",5,6,4,5,6,5,6,5,5,6,6,6,6,5,5,4,4,3,5,4,3,3,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","Movies",4,"I use Prime Video more since the pandemic started","TV, Desktop PC","Spend time with your partner/friends/family, Learn something new, Keeping myself up to date with trending content","Cast, Film director"
"66",48,"19/04/2022 12.38.31","Both platforms","24-29","Female","Student","Italy","I share a flat with roommates",7,6,6,6,5,6,7,6,6,6,6,7,7,5,6,6,6,5,6,6,4,6,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my friends","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",5.6,"About the same use before and after the pandemic started",4,4,3,3,3,3,4,4,3,3,3,5,5,4,4,4,4,4,3,3,4,4,"Very recently and it was not related to the pandemic","Not applicable","No","Student fee","I did not subscribed during the pandemic, but just recently","Movies, TV shows / series",4,"Not applicable","TV, Laptop","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Cast, Title, Platform recommendations, Friends' recommendation, Award winning shows"
"67",49,"19/04/2022 13.55.59","Both platforms","More than 42","Male","Employed","Canada","I live with my spouse or partner",7,7,7,7,6,6,7,6,6,7,6,7,7,7,7,6,6,6,5,6,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies",7,"About the same use before and after the pandemic started",6,6,6,5,5,5,7,5,5,6,6,6,6,6,5,5,5,4,5,4,4,4,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","TV shows / series",5,"About the same use before and after the pandemic","TV","Pass the time","New Release"
"69",50,"19/04/2022 14.27.12","Both platforms","24-29","Male","Employed","Italy","I live with my parents",5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Netflix's user","TV shows / series, Documentaries",4.2,"About the same use before and after the pandemic started",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","TV shows / series",3,"About the same use before and after the pandemic","TV","Spend time with your partner/friends/family, Learn something new","Cast, Platform recommendations, Friends' recommendation"
"70",51,"19/04/2022 14.29.01","Both platforms","24-29","Male","Unemployed","Italy","I live with my spouse or partner",6,6,5,6,4,5,6,4,5,6,7,7,7,6,7,5,4,4,5,5,4,6,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",5.6,"About the same use before and after the pandemic started",6,6,5,5,5,6,6,6,5,6,7,7,7,7,7,3,4,5,5,4,4,4,"Before the pandemic started (before February, 2020)","Not applicable","No","No","Yes, I am still a Prime Video's user","TV shows / series",4,"About the same use before and after the pandemic","TV","Spend time with your partner/friends/family, Pass the time, Release stress","Title, Graphics, Friends' recommendation"
"71",52,"19/04/2022 14.29.18","Both platforms","24-29","Male","Employed","Italy","I live with my parents",7,7,7,7,5,6,7,7,7,4,7,7,7,7,7,7,7,7,6,7,7,7,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my partner","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series",5.6,"About the same use before and after the pandemic started",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies",4,"About the same use before and after the pandemic","TV, Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Pass the time","Cast, New Release, Top 10"
"72",53,"19/04/2022 14.34.35","Both platforms","18-23","Female","Student, anche lavoratrice ","Italy","I live with my parents",7,7,7,5,7,7,7,7,6,7,5,7,7,7,7,7,7,5,6,5,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes, but not the entire fee","Yes, I am still a Netflix's user","un po’ di tutto",5.6,"I use Netflix more since the pandemic started",5,5,3,4,4,4,5,4,2,4,4,4,4,4,4,1,1,1,3,1,1,1,"lo fece la mia famiglia non fu una mia scelta ma comunque prima ","","Yes, with my family","No","ce l’ho ma non lo uso ","niente perché non lo uso ",1,"non lo uso e non lo ho mai usato ","TV, Laptop","Spend time with your partner/friends/family, Pass the time","Title, Graphics, Platform recommendations, New Release"
"73",54,"19/04/2022 14.34.40","Both platforms","18-23","Male","Student","Italy","I live with my parents",7,7,7,7,6,7,7,6,7,6,6,7,7,7,7,7,7,5,7,6,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",5.6,"About the same use before and after the pandemic started",7,7,7,7,6,6,7,6,7,6,7,7,7,7,7,6,7,5,7,6,6,7,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",2,"About the same use before and after the pandemic","TV, Laptop","Learn something new, Pass the time","Platform recommendations, Friends' recommendation"
"74",55,"19/04/2022 14.38.19","Both platforms","18-23","Male","I'm a student who work","Italy","I live with my parents",5,5,6,6,4,5,7,6,5,6,6,6,6,6,6,5,5,5,5,5,4,5,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, Documentaries, Animated films / Cartoons",1.4,"I use Netflix less than the time before the pandemic started",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,4,5," I have use it just at friends house ","","I don't have one but my friend does","No","Bitch","Movies, Animated films / Cartoons",2,"I use Prime Video more since the pandemic started","TV","Spend time with your partner/friends/family","Friends' recommendation"
"75",56,"19/04/2022 14.46.04","Both platforms","30-35","Female","Employed","Italy","I live with my spouse or partner",7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,5,6,6,6,6,6,6,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",7,"About the same use before and after the pandemic started",6,5,6,5,6,5,6,6,6,6,7,7,7,7,7,5,6,6,6,4,5,5,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",3,"I use Prime Video less than the time before the pandemic started","TV, Desktop PC, Tablet","Spend time with your partner/friends/family, Pass the time, Keeping myself up to date with trending content, Release stress","Cast, Title, Friends' recommendation, Award winning shows, New Release, Top 10"
"77",57,"19/04/2022 16.48.54","Both platforms","More than 42","Male","Employed","USA","I live with my spouse or partner",7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,6,"Before the pandemic started (before February, 2020)","Not applicable","No","Yes","Yes, I am still a Netflix's user","TV shows / series",7,"About the same use before and after the pandemic started",6,6,6,5,6,6,6,5,5,6,6,6,6,5,6,5,4,5,5,5,5,5,"Before the pandemic started (before February, 2020)","Not applicable","No","Yes","Yes, I am still a Prime Video's user","TV shows / series",5,"About the same use before and after the pandemic","TV, PlayStation ","Spend time with your partner/friends/family","Film director, New Release"
"78",58,"19/04/2022 17.46.33","Both platforms","18-23","Male","Student","Italy","I live by myself, I live with my parents",6,6,5,3,4,6,7,3,7,6,5,7,7,7,7,6,6,6,4,4,4,4,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series",5.6,"About the same use before and after the pandemic started",5,5,6,4,6,7,7,7,7,6,7,7,7,7,7,6,7,5,6,6,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",6,"About the same use before and after the pandemic","TV, Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Pass the time, Release stress","Title, Graphics, Friends' recommendation, New Release"
"79",59,"19/04/2022 18.29.53","Both platforms","18-23","Male","Student, Employed","Italy","I live with my parents",6,7,6,6,5,6,7,6,7,7,7,7,7,7,7,6,6,6,6,5,4,6,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",4.2,"I use Netflix less than the time before the pandemic started",5,5,5,5,5,4,7,6,5,7,7,6,7,6,6,5,5,4,5,4,3,4,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes, but not the entire fee","Yes, I am still a Prime Video's user","Movies, Documentaries",2,"I use Prime Video less than the time before the pandemic started","TV, Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Learn something new, Pass the time, Keeping myself up to date with trending content","Graphics, Friends' recommendation, Award winning shows, New Release"
"80",60,"19/04/2022 18.36.39","Both platforms","More than 42","Male","trader","Italy","I live by myself",7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,6,6,6,5,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my partner","No","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",5.6,"I use Netflix more since the pandemic started",6,6,6,6,6,6,6,5,6,6,6,5,6,5,6,7,7,7,6,6,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",6,"I use Prime Video more since the pandemic started","TV","Spend time with your partner/friends/family, Learn something new, Pass the time","Title, Friends' recommendation, Award winning shows"
"81",61,"19/04/2022 18.48.31","Both platforms","18-23","Male","Student","United Kingdom ","I live with my parents",6,5,5,7,5,4,7,5,5,6,6,7,7,6,6,4,4,5,5,3,5,4,"After the pandemic started (from February, 2020)","Considering that I was restricted to home isolation, I wanted to entertain myself with Netflix's content, A particular movie/show I wanted to watch (i.e.; La casa de Papel, Black Mirror, Stranger Things, I purchased Netflix because I was feeling anxious, depressed","No","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",4.2,"I use Netflix more since the pandemic started",4,4,3,3,4,4,6,5,5,6,5,4,5,4,5,6,5,2,5,5,5,4,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",6,"I use Prime Video more since the pandemic started","TV, Laptop, Tablet, Smartphone","Pass the time, Keeping myself up to date with trending content, Release stress","Title, Graphics, Platform recommendations, Friends' recommendation, New Release, Top 10"
"82",62,"20/04/2022 4.56.09","Both platforms","30-35","Male","Student","United States of America","I live with my spouse or partner",4,5,6,3,3,3,7,4,5,6,6,7,7,6,6,2,2,5,4,3,3,5,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Animated films / Cartoons",7,"I use Netflix less than the time before the pandemic started",3,3,3,3,5,3,5,4,5,5,4,5,3,3,4,6,6,6,4,4,6,4,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Animated films / Cartoons",7,"I use Prime Video more since the pandemic started","TV, Desktop PC, Tablet","Spend time with your partner/friends/family, Pass the time","Cast, Award winning shows, New Release, Top 10"
"83",63,"20/04/2022 11.42.04","Both platforms","18-23","Male","Student","Italy","I live with my parents",5,5,4,5,3,7,7,5,7,5,3,7,7,7,7,6,6,7,6,5,2,5,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes, but not the entire fee","Yes, I am still a Netflix's user","TV shows / series, Animated films / Cartoons",4.2,"About the same use before and after the pandemic started",5,4,4,4,5,3,4,3,6,2,4,5,3,5,4,5,6,5,4,5,2,5,"After the pandemic started (from February, 2020)","I was already subscribed, but I started using it during the pandemic to have a better variety of content","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies, TV shows / series",4,"I use Prime Video more since the pandemic started","Desktop PC, Laptop, Smartphone","Pass the time, Background noise","Friends' recommendation, Plot "
"86",64,"20/04/2022 17.27.54","Both platforms","24-29","Female","Student","Italy","I share a flat with roommates",7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,5,7,5,5,7,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","TV shows / series, Documentaries",4.2,"About the same use before and after the pandemic started",6,6,6,5,5,6,7,5,5,5,6,7,7,7,7,5,5,4,6,5,2,5,"Before the pandemic started (before February, 2020)","","No","No","Yes, I am still a Prime Video's user","Movies",1,"I can't remember","Laptop","Spend time with your partner/friends/family, Learn something new, Release stress","Title, Platform recommendations, Friends' recommendation, Award winning shows, New Release, Top 10"
"88",65,"20/04/2022 18.57.29","Both platforms","24-29","Female","Student","Italy","I live by myself",6,6,5,7,6,6,7,5,7,6,7,7,7,7,7,7,4,6,6,5,4,6,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my friends","No","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons, comedy specials",4.2,"About the same use before and after the pandemic started",5,5,3,3,4,3,4,2,4,6,6,6,6,5,6,1,4,5,1,4,1,4,"After the pandemic started (from February, 2020)","I had the possibility to use Prime Video together with other Amazon products, I had a free student account for 3 months, so I used it","No","I use the trial version for free","I am using it with my new uni account","Movies, TV shows / series",2,"I can't remember","TV, Laptop","Spend time with your partner/friends/family, Release stress","Platform recommendations, Award winning shows, New Release, Top 10"
"90",66,"21/04/2022 14.44.53","Both platforms","36-41","Female","Employed","Italy","I live by myself",7,7,6,6,5,6,6,6,6,6,6,7,7,7,7,6,6,6,5,4,3,4,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes","Yes, I am still a Netflix's user","Movies",4.2,"I use Netflix more since the pandemic started",6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,5,2,6,"After the pandemic started (from February, 2020)","Considering that I was restricted to home isolation, I wanted to entertain myself with Prime Video's content","Yes, with my friends","No","Yes, I am still a Prime Video's user","Movies",4,"I wasn’t using it before the pandemic ","Laptop, Smartphone","Spend time with your partner/friends/family","Cast, Film director, Friends' recommendation"
"91",67,"21/04/2022 15.18.16","Both platforms","More than 42","Male","Employed","Italy","I live by myself",7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies",7,"About the same use before and after the pandemic started",6,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,6,6,7,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies",7,"About the same use before and after the pandemic","Laptop","Spend time with your partner/friends/family, Pass the time, Keeping myself up to date with trending content","Film director"
"93",68,"21/04/2022 17.48.06","Both platforms","36-41","Female","Employed","Italy","I live with my spouse or partner",6,6,6,5,5,6,7,5,5,5,6,5,6,6,6,4,4,4,4,2,1,5,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes, but not the entire fee","No, I have canceled my subscription","Movies, TV shows / series, Documentaries",4.2,"We cancel the subscription before the pandemic so I cannot compare",5,5,5,4,4,4,6,4,5,4,6,7,7,7,6,4,4,3,2,1,4,4,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my partner","I use my partner's account, he pays","Yes, I am still a Prime Video's user","Movies, TV shows / series",6,"I use Prime Video more since the pandemic started","TV","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Film director, Friends' recommendation, Award winning shows, Recommendations from critics on different websites; Geographical origin"
"94",69,"21/04/2022 17.51.45","Both platforms","36-41","Male","Employed","Italy","I live with my spouse or partner",5,6,6,5,4,5,7,6,5,5,6,7,7,6,6,6,6,5,6,5,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",5.6,"About the same use before and after the pandemic started",3,2,3,5,3,2,5,5,4,3,3,4,5,3,3,4,4,2,2,3,2,2,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, Animated films / Cartoons",4,"About the same use before and after the pandemic","TV, Laptop","Spend time with your partner/friends/family, Pass the time, Release stress","Title, Award winning shows, New Release"
"96",70,"25/04/2022 22.13.41","Both platforms","36-41","Male","Employed","Italy","I live with my spouse or partner",7,7,6,5,6,6,7,6,6,6,7,7,7,7,6,6,6,6,6,6,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series",4.2,"I use Netflix less than the time before the pandemic started",5,5,5,5,5,4,7,5,6,4,6,7,7,6,5,7,7,5,6,7,7,5,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","Movies",5,"About the same use before and after the pandemic","TV","Pass the time","Cast, Film director"
"97",71,"28/04/2022 21.07.46","Both platforms","30-35","Male","Employed","Belgium ","I live with my spouse or partner",7,6,5,4,4,4,7,4,3,5,5,6,6,6,6,4,4,3,4,3,1,4,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes","No, I have canceled my subscription","TV shows / series",4.2,"I can't remember",7,6,7,7,6,7,6,5,5,6,5,6,7,7,6,6,6,6,6,6,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",5,"I can't remember","TV, Laptop, Smartphone","Spend time with your partner/friends/family","Platform recommendations, Friends' recommendation"
